Log ID,semantic relation,log text,url,,FP?,Parsing Error,,Final,Reason,FP?-2,Parsing Error-2,reason-2,note
74,meets/starts,Adding request to ask VID,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/RemoteRequestsTable.java/#L277,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,
98,meets/starts,Connecting to Shared Cache Manager at VID,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/SharedCacheClientImpl.java/#L87,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,
110,meets/starts,Adding request to ask VID,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/AMRMClientImpl.java/#L944,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,
136,meets/starts,Authorization: Negotiate VID,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-api/src/main/java/org/apache/hadoop/yarn/service/client/ApiServiceClient.java/#L140,,TRUE,TRUE,,TRUE,no code match,TRUE,TRUE,,
219,meets/starts,Service VID cancelling upgrade,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-api/src/main/java/org/apache/hadoop/yarn/service/webapp/ApiServer.java/#L763,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,
234,after,"VID , wait on container VID expired",https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core/src/main/java/org/apache/hadoop/yarn/service/ServiceScheduler.java/#L490,,TRUE,TRUE,,TRUE,mian verb wrong,TRUE,TRUE,,
257,after,VID Component state changed from VID to VID,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core/src/main/java/org/apache/hadoop/yarn/service/ServiceScheduler.java/#L978,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,
362,meets/starts,"Adding VID 's keytab for localization, uri = VID",https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core/src/main/java/org/apache/hadoop/yarn/service/client/ServiceClient.java/#L1506,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,
396,meets/starts,Authorization: Negotiate VID,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core/src/main/java/org/apache/hadoop/yarn/service/utils/HttpUtil.java/#L115,,TRUE,TRUE,,TRUE,no code match,TRUE,TRUE,,
407,meets/starts,looking for API VID,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core/src/main/java/org/apache/hadoop/yarn/service/utils/ClientRegistryBinder.java/#L181,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,
