Project,Log ID,Log,Log level,Log URL,Log content relation,Log-code relation
jmeter,13682,"log.warn(""Existing CookieManager {} superseded by {}"", mgr.getName(), value.getName())",warn,https://github.com/apache/jmeter/blob/master/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/sampler/HTTPSamplerBase.java/#L954,after,before
activemq,18247,"LOG.debug(""Session {} closed"", getSessionId())",debug,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/protocol/AmqpSession.java/#L116,after,before
hadoop,13139,"LOG.info(""Local service "" + localTarget + "" entered state: "" + newState)",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ha/ZKFailoverController.java/#L926,after,meets/starts
jmeter,13683,"log.warn(""Existing KeystoreConfig {} superseded by {}"", mgr.getName(), value.getName())",warn,https://github.com/apache/jmeter/blob/659c1ff5eaea941eb7ad0638b58e904dcc06d961/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/sampler/HTTPSamplerBase.java/#L975,after,meets/starts
jmeter,13679,"log.warn(""Existing AuthManager {} superseded by {}"", mgr.getName(), value.getName())",warn,https://github.com/apache/jmeter/blob/659c1ff5eaea941eb7ad0638b58e904dcc06d961/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/sampler/HTTPSamplerBase.java/#L916,after,meets/starts
jmeter,15098,"log.info(""Thread started: {}"", Thread.currentThread().getName())",info,https://github.com/apache/jmeter/blob/659c1ff5eaea941eb7ad0638b58e904dcc06d961/src/core/src/main/java/org/apache/jmeter/threads/JMeterThread.java/#L727,after,before
activemq,19714,"LOG.debug(""Stopped {}"", this)",debug,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-client/src/main/java/org/apache/activemq/transport/failover/FailoverTransport.java/#L382,after,meets/starts
activemq,18092,"LOG.info(""Stopped KahaDB"")",info,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/KahaDBStore.java/#L310,after,meets/starts
activemq,17814,"LOG.debug(""Stopped recover next messages"")",debug,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-jdbc-store/src/main/java/org/apache/activemq/store/jdbc/adapter/DefaultJDBCAdapter.java/#L1097,after,meets/starts
hadoop,287,"log.info(""Reading config from: "" + configFile.getSrcFile() + "", writing to: "" + remoteFile)",info,https://github.com/apache/hadoop/blob/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core/src/main/java/org/apache/hadoop/yarn/service/provider/ProviderUtils.java/#L446,meets/starts,after
